ds,yhat
2021-07-06,45.13752052057176
2021-07-07,45.43621908080287
2021-07-08,45.720188147767765
2021-07-09,45.87333878293563
2021-07-10,45.73132083255919
2021-07-11,45.21790978241932
2021-07-12,45.36693296598329
2021-07-13,46.13802296976067
2021-07-14,46.62000480552864
2021-07-15,47.054703293183934
2021-07-16,47.32191246141589
2021-07-17,47.254015555623454
2021-07-18,46.77246530671675
2021-07-19,46.90978007208524
2021-07-20,47.625341560549145
2021-07-21,48.008799255148034
2021-07-22,48.30386724403847
2021-07-23,48.393255281652976
2021-07-24,48.113223438640254
2021-07-25,47.38997150189888
2021-07-26,47.26152094614005
2021-07-27,47.693378045605485
2021-07-28,47.78178666883544
2021-07-29,47.77736037773223
2021-07-30,47.56983994129034
2021-07-31,47.00247015714604
2021-08-01,46.00821190900003
